termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,familia_fdr,nota
const,0.007176806321447765,0.41948776855300357,-0.8150041119975131,0.8293577246404087,0.9863500582034785,OLS_delta_estoque_minimal,587,295,0.9326166097959141,1.1856899488926746,,,
atracao_muni,0.5061830532385464,0.2505699008766636,0.015075071910514437,0.9972910345665784,0.0433702030094719,OLS_delta_estoque_minimal,587,295,0.9326166097959141,1.1856899488926746,0.06735361951556934,minimal_5_desfechos,
cod_curso_12,-1.337139856396564,0.5267688437593755,-2.3695878183427466,-0.30469189445038114,0.011136677128228826,OLS_delta_estoque_minimal,587,295,0.9326166097959141,1.1856899488926746,,,
cod_curso_13,-1.0599994859344222,0.5025217809619679,-2.044924078066805,-0.07507489380203936,0.03491349502443099,OLS_delta_estoque_minimal,587,295,0.9326166097959141,1.1856899488926746,,,
cod_curso_14,0.5759605661903686,0.3555269608212345,-0.12085947255223384,1.272780604932971,0.1052281141877979,OLS_delta_estoque_minimal,587,295,0.9326166097959141,1.1856899488926746,,,
cod_curso_15,-0.23962490262793376,0.29213292407940294,-0.8121949125219375,0.33294510726606996,0.41206800098655316,OLS_delta_estoque_minimal,587,295,0.9326166097959141,1.1856899488926746,,,
cod_curso_16,-1.0109154529250362,0.5152830233149269,-2.020851620467206,-0.0009792853828665127,0.04977826591448957,OLS_delta_estoque_minimal,587,295,0.9326166097959141,1.1856899488926746,,,
cod_curso_2,0.016831551067418772,0.39779836313719286,-0.7628389137904651,0.7965020159253026,0.9662501661537415,OLS_delta_estoque_minimal,587,295,0.9326166097959141,1.1856899488926746,,,
cod_curso_3,-0.8171763140081946,0.3890815839519319,-1.5797622056017784,-0.05459042241461065,0.035705111249760335,OLS_delta_estoque_minimal,587,295,0.9326166097959141,1.1856899488926746,,,
cod_curso_5,-0.8067347489618376,0.39356146869306874,-1.5781010533029405,-0.03536844462073485,0.04038086335422126,OLS_delta_estoque_minimal,587,295,0.9326166097959141,1.1856899488926746,,,
cod_curso_9,-0.008186954339491188,0.3854315114992823,-0.7636188353849203,0.7472449267059378,0.9830534009225625,OLS_delta_estoque_minimal,587,295,0.9326166097959141,1.1856899488926746,,,
uf_fe_12,0.30177761803377745,0.4237805337014201,-0.5288169653701685,1.1323722014377235,0.47639774039523386,OLS_delta_estoque_minimal,587,295,0.9326166097959141,1.1856899488926746,,,
